sku,name,brand,category,price,stockQty,shortDesc,datasheetUrl,specs
"1SAM250000R1009","ABB 6.3A MS116 Motor Protection Circuit Breaker, 600V, 70 °C, -25 °C","ABB","Motor Control","90.84","0","ABB 6.3A MS116 Motor Protection Circuit Breaker, 600V, 70 °C, -25 °C","https://docs.rs-online.com/4764/0900766b80233ffe.pdf","{""Current Rating"":""6.3A"",""Product Type"":""Motor Protection Circuit Breaker"",""Motor Protection Component"":""Circuit Breaker"",""Supply Voltage"":""600V"",""Motor Protection System"":""Motor Protection Circuit Breaker"",""Series"":""MS116"",""Sensing Type"":""Current"",""Overall Length"":""90mm"",""Overall Width"":""45mm"",""IP Rating"":""IP10, IP20"",""Overall Depth"":""80.1mm"",""Minimum Operating Temperature"":""-25°C"",""Maximum Operating Temperature"":""70°C"",""Standards/Approvals"":""IEC 60 947-1/IEC 60 947-2/EN60 P47-1/EN60 (47-2), CCC, CE, cUL, CSA, UL"",""Number of Poles"":""3"",""Country of Origin"":""DE""}"
"1SFA619103R1341","ABB CP4 Series Illuminated Push Button Switch, Panel, 23 mm Cutout Red, SPST, IP20, IP66, IP67, IP69K","ABB","Sensors & Switches","17.96","0","ABB CP4 Series Illuminated Push Button Switch, Panel, 23 mm Cutout Red, SPST, IP20, IP66, IP67, IP69K","https://docs.rs-online.com/0624/A700000008480919.pdf","{""Product Type"":""Push Button Switch"",""Illuminated"":""Yes"",""Cutout Diameter"":""23mm"",""Series"":""CP4"",""Push Button Actuation"":""Maintained"",""Mount Type"":""Panel"",""Push Button Colour"":""Red"",""Contact Configuration"":""SPST"",""Push Button Style"":""Round"",""Terminal Type"":""Screw"",""Push Button Shape"":""Extended Round"",""IP Rating"":""IP20, IP66, IP67, IP69K"",""Minimum Operating Temperature"":""-25°C"",""Maximum Operating Temperature"":""70°C"",""Push Button Material"":""Plastic"",""Standards/Approvals"":""RoHS"",""Hazardous Area Certification"":""No"",""Body Material"":""Black Plastic"",""Country of Origin"":""CN""}"
"ACS480-04-09A5-4","ABB Inverter Drive, 4 kW, 3 Phase, ACS480 Series 480V 9.4 A","ABB","Drives & VFDs","890.74","0","ABB Inverter Drive, 4 kW, 3 Phase, ACS480 Series 480V 9.4 A","https://docs.rs-online.com/d9d3/0900766b8168efc2.pdf","{""Product Type"":""Inverter Drive"",""Power Rating"":""4kW"",""Number of Phases"":""3"",""Maximum Output Current"":""9.4A"",""Series"":""ACS480"",""Mount Type"":""Wall Mount"",""IP Rating"":""IP20"",""Overall Length"":""73mm"",""Output Frequency"":""63Hz"",""Minimum Supply Voltage"":""380V"",""Maximum Supply Voltage"":""480V"",""Compatible Motor Type"":""AC Motor"",""Drive Type"":""AC"",""Maximum Operating Temperature"":""50°C"",""Standards/Approvals"":""IEC"",""Overall Width"":""207.1mm"",""Overall Depth"":""223mm"",""Country of Origin"":""CN""}"
"1SFA619600R6103","ABB, Panel Mount Yellow LED Buzzer, ABB Compact, 22 mm Cutout, 24 V ac, 24V dc, IP67, IP66, Round","ABB","Sensors & Switches","48.7","0","ABB, Panel Mount Yellow LED Buzzer, ABB Compact, 22 mm Cutout, 24 V ac, 24V dc, IP67, IP66, Round","https://docs.rs-online.com/7020/0900766b81334527.pdf","{""Product Type"":""Buzzer"",""Voltage"":""24, 24V ac"",""Pilot Light Colour"":""Yellow"",""Cutout Diameter"":""22mm"",""Lamp Type"":""LED"",""Series"":""ABB Compact"",""Mount Type"":""Panel Mount"",""IP Rating"":""IP67, IP66"",""Terminal Type"":""Screw"",""Current Rating"":""53mA"",""Pilot Light Shape"":""Round"",""Body Material"":""Plastic"",""Standards/Approvals"":""EN60068-2-2, EN60068-2-1, DIN EN 62094-1, UL 508"",""Hazardous Area Certification"":""No"",""Bezel Material"":""Plastic""}"
"1SVR427034R0000","ABB CPE Switched Mode DIN Rail Power Supply 230V ac AC/DC Input 24V dc, 5 A Output DC 120 W","ABB","Power Supplies","183.18","0","ABB CPE Switched Mode DIN Rail Power Supply 230V ac AC/DC Input 24V dc, 5 A Output DC 120 W","https://docs.rs-online.com/17d0/0900766b80d2dfc4.pdf","{""Series"":""CPE"",""Product Type"":""DIN Rail Power Supply"",""Maximum Output Voltage"":""24V dc"",""Sub Type"":""Switched Mode"",""Electrical Phase"":""1"",""Input Voltage Type"":""AC/DC"",""Number of Outputs"":""1"",""Power"":""120W"",""Output Current"":""5A"",""IP Rating"":""IP20"",""Minimum Operating Temperature"":""-40°C"",""Output Voltage Type"":""DC"",""Maximum Operating Temperature"":""85°C"",""Depth"":""123.6mm"",""Width"":""63.2mm"",""Hazardous Area Certification"":""No"",""Standards/Approvals"":""No"",""Height"":""123.6mm"",""Maximum Input Voltage"":""230V ac"",""Minimum Input Voltage"":""115V ac"",""Efficiency"":""86%"",""Country of Origin"":""TW""}"
"DRS-24V50W1NZ","AC/DC DIN RAIL SUPPLY 24V 50W","Delta Electronics","Power Supplies","46.82","0","AC/DC DIN RAIL SUPPLY 24V 50W","https://www.deltapsu.com/en/products/download/Datasheet/DRS-24V50W1NZ","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""2.1A"",""Power (Watts)"":""50W"",""Voltage - Isolation"":""3 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""90%"",""Operating Temperature"":""-20°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, Universal Input"",""Size / Dimension"":""3.52\"" L x 1.18\"" W x 2.95\"" H (89.5mm x 30.0mm x 75.0mm)"",""Approval Agency"":""CB, CE, cULus, cURus, TUV"",""Series"":""Sync (50W)""}"
"DRP024V060W3BN","AC/DC DIN RAIL SUPPLY 24V 60W","Delta Electronics","Power Supplies","86.91","0","AC/DC DIN RAIL SUPPLY 24V 60W","https://www.deltapsu.com/en/products/download/Datasheet/DRP024V060W3BA","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""320 ~ 600 VAC (3 Phase)"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""2.5A"",""Power (Watts)"":""60W"",""Voltage - Isolation"":""4 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""86%"",""Operating Temperature"":""-25°C ~ 80°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""4.62\"" L x 1.97\"" W x 4.76\"" H (117.3mm x 50.0mm x 121.0mm)"",""Approval Agency"":""CB Scheme, CE, CSA, EAC, EN, SIQ, UL"",""Standard Number"":""107.1-01; 508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-3-3; 61000-6-2; 61204-3; 62368-1"",""Series"":""CliQ II (60W)""}"
"DRP024V120W1BN","AC/DC DIN RAIL SUPPLY 24V 120W","Delta Electronics","Power Supplies","90.76","0","AC/DC DIN RAIL SUPPLY 24V 120W","https://www.deltapsu.com/en/products/download/Datasheet/DRP024V120W1BA","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""5A"",""Power (Watts)"":""120W"",""Voltage - Isolation"":""4 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""90%"",""Operating Temperature"":""-20°C ~ 85°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""4.87\"" L x 1.97\"" W x 4.76\"" H (123.7mm x 50.0mm x 121.0mm)"",""Approval Agency"":""CB Scheme, CE, CSA, EAC, EN, SIQ, UL"",""Standard Number"":""107.1-01; 508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-3-3; 61000-6-2; 61204-3; 62368-1"",""Series"":""CliQ II (120W)""}"
"DRP024V120W3BN","AC/DC DIN RAIL SUPPLY 24V 120W","Delta Electronics","Power Supplies","99.15","0","AC/DC DIN RAIL SUPPLY 24V 120W","https://www.deltapsu.com/en/products/download/Datasheet/DRP024V120W3BA","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""400 ~ 500 VAC (3 Phase)"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""5A"",""Power (Watts)"":""120W"",""Voltage - Isolation"":""4 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""88%"",""Operating Temperature"":""-25°C ~ 85°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""4.62\"" L x 1.97\"" W x 4.76\"" H (117.3mm x 50.0mm x 121.0mm)"",""Approval Agency"":""CB Scheme, CE, CSA, EAC, EN, SIQ, UL"",""Standard Number"":""107.1-01; 508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-3-3; 61000-6-2; 61204-3; 62368-1"",""Series"":""CliQ II (120W)""}"
"DRS-24V100W1NR","AC/DC DIN RAIL SUPPLY 24V 100W","Delta Electronics","Power Supplies","75.74","0","AC/DC DIN RAIL SUPPLY 24V 100W","https://www.deltapsu.com/en/products/download/Datasheet/DRS-24V100W1AZ","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""3.8A"",""Power (Watts)"":""100W"",""Voltage - Isolation"":""3 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""89%"",""Operating Temperature"":""-20°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""3.94\"" L x 1.77\"" W x 2.95\"" H (100.0mm x 45.0mm x 75.0mm)"",""Approval Agency"":""CB, CE, cULus, cURus, TUV"",""Series"":""Sync (100W)""}"
"DRM-24V480W1PN","AC/DC DIN RAIL SUPPLY 24V 480W","Delta Electronics","Power Supplies","314.29","0","AC/DC DIN RAIL SUPPLY 24V 480W","https://www.deltapsu.com/en/products/download/Datasheet/DRM-24V480W1PN","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 276 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""20A"",""Power (Watts)"":""480W"",""Voltage - Isolation"":""4.54 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""94.17%"",""Operating Temperature"":""-25°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, PFC"",""Size / Dimension"":""4.88\"" L x 3.23\"" W x 5.00\"" H (124.0mm x 82.0mm x 127.0mm)"",""Approval Agency"":""CB, cCSAus, CE, cULus, cURus"",""Standard Number"":""508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-6-2; 61000-6-3; 61010-1; 61204-3; 61558-1; 61558-2-16; 62368-1"",""Series"":""CliQ M (480W)""}"
"DRS-12V50W1NZ","AC/DC DIN RAIL SUPPLY 12V 50W","Delta Electronics","Power Supplies","44.17","0","AC/DC DIN RAIL SUPPLY 12V 50W","https://www.deltapsu.com/en/products/download/Datasheet/DRS-12V50W1NZ","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""12V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""4A"",""Power (Watts)"":""50W"",""Voltage - Isolation"":""3 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""89%"",""Operating Temperature"":""-20°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, Universal Input"",""Size / Dimension"":""3.52\"" L x 1.18\"" W x 2.95\"" H (89.5mm x 30.0mm x 75.0mm)"",""Approval Agency"":""CB, CE, cULus, cURus, TUV"",""Series"":""Sync (50W)""}"
"DRS-5V50W1AZ","AC/DC DIN RAIL SUPPLY 5V 30W","Delta Electronics","Power Supplies","41.06","0","AC/DC DIN RAIL SUPPLY 5V 30W","https://www.deltapsu.com/en/products/download/Datasheet/DRS-5V50W1NZ","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""5V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""6A"",""Power (Watts)"":""30W"",""Voltage - Isolation"":""3 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""82%"",""Operating Temperature"":""-20°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Universal Input"",""Size / Dimension"":""3.74\"" L x 1.18\"" W x 2.95\"" H (95.0mm x 30.0mm x 75.0mm)"",""Approval Agency"":""CB, CE, cULus, cURus, TUV"",""Series"":""Sync (50W)""}"
"DRV-24V480W1PN","AC/DC DIN RAIL SUPPLY 24V 480W","Delta Electronics","Power Supplies","389.12","0","AC/DC DIN RAIL SUPPLY 24V 480W","https://www.deltapsu.com/en/products/download/Datasheet/DRV-24V480W1PN","{""Input Type"":""AC or DC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 276 VAC"",""DC Voltage - Input (Min)"":""88V"",""DC Voltage - Input (Max)"":""375V"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""20A"",""Power (Watts)"":""480W"",""Voltage - Isolation"":""3 kV"",""Applications"":""Industrial, ITE (Commercial)"",""Efficiency"":""94.17%"",""Operating Temperature"":""-25°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, PFC, Universal Input"",""Size / Dimension"":""5.87\"" L x 3.23\"" W x 4.88\"" H (149.0mm x 82.0mm x 124.0mm)"",""Approval Agency"":""CB Scheme, CE, EN, SIQ, UL"",""Standard Number"":""508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-3-3; 61000-6-1; 61000-6-2; 61000-6-3; 61000-6-4; 61204-3"",""Series"":""CliQ VA (480W)""}"
"DRU-24V40ABN","UPS MODULE 40A 24V DIN","Delta Electronics","Power Supplies","69.34","0","UPS MODULE 40A 24V DIN","https://www.deltapsu.com/en/products/download/Datasheet/DRU-24V40ABN","{""Type"":""-"",""Applications"":""General Purpose, Industrial Control"",""Form"":""Din Rail"",""Power - Rated"":""960W"",""AC Outlets"":""-"",""Backup Time - Max Load"":""4.5 minutes"",""Media Lines Protected"":""-"",""Voltage - Output"":""24V"",""Input Connector"":""-"",""Output Connector"":""-"",""Cord Length"":""-"",""Size / Dimension"":""4.618\"" L x 1.969\"" W (117.30mm x 50.00mm)"",""Height"":""4.764\"" (121.00mm)"",""Series"":""CliQ II""}"
"DRS-24V100W1NZ","AC/DC DIN RAIL SUPPLY 24V 100W","Delta Electronics","Power Supplies","73.28","0","AC/DC DIN RAIL SUPPLY 24V 100W","https://www.deltapsu.com/en/products/download/Datasheet/DRS-24V100W1AZ","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 264 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""3.8A"",""Power (Watts)"":""100W"",""Voltage - Isolation"":""3 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""89%"",""Operating Temperature"":""-20°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""3.94\"" L x 1.77\"" W x 2.95\"" H (100.0mm x 45.0mm x 75.0mm)"",""Approval Agency"":""CB, CE, cULus, cURus, TUV"",""Series"":""Sync (100W)""}"
"DRM-24V240W1PN","AC/DC DIN RAIL SUPPLY 24V 240W","Delta Electronics","Power Supplies","183.12","0","AC/DC DIN RAIL SUPPLY 24V 240W","https://www.deltapsu.com/en/products/download/Datasheet/DRM-24V240W1PN","{""Input Type"":""AC"",""Number of Outputs"":""1"",""AC Voltage - Input"":""85 ~ 276 VAC"",""Voltage - Output 1"":""24V"",""Voltage - Output 2"":""-"",""Voltage - Output 3"":""-"",""Voltage - Output 4"":""-"",""Voltage - Output 5"":""-"",""Voltage - Output 6"":""-"",""Current - Output (Max)"":""10A"",""Power (Watts)"":""240W"",""Voltage - Isolation"":""4.54 kV"",""Applications"":""ITE (Commercial)"",""Efficiency"":""94.8%"",""Operating Temperature"":""-25°C ~ 70°C (With Derating)"",""Features"":""Adjustable Output, IP20, Load Sharing, PFC, Universal Input"",""Size / Dimension"":""4.61\"" L x 2.36\"" W x 4.88\"" H (117.0mm x 60.0mm x 124.0mm)"",""Approval Agency"":""CB, cCSAus, CE, cURus"",""Standard Number"":""508; 50581; 55011; 55024; 55032; 60950-1; 61000-3-2; 61000-6-2; 61000-6-3; 61010-1; 61204-3; 61558-1; 61558-2-16; 62368-1"",""Series"":""CliQ M (240W)""}"
